playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
devliji02,23,70,13,18,1,0,0,4.0,3.0,6,8.0,0.0,0.0,0.0,0.2571428571428571,0.3157894736842105,0.2714285714285714
devliji03,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
devogre01,3,6,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
devoral01,196,477,50,123,20,5,2,57.0,7.0,20,46.0,3.0,16.0,0.0,0.2578616352201258,0.292,0.3333333333333333
devordo01,50,107,5,24,3,2,3,13.0,1.0,7,31.0,0.0,0.0,0.0,0.22429906542056074,0.2719298245614035,0.37383177570093457
devorjo01,601,1874,331,520,58,31,11,149.0,160.0,222,233.0,23.0,39.0,0.0,0.27748132337246534,0.3610193487494101,0.3591248665955176
devoywa01,19,69,7,17,3,1,0,8.0,4.0,3,13.0,0.0,1.0,0.0,0.2463768115942029,0.2777777777777778,0.3188405797101449
devrico01,21,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dewalch01,2,8,1,3,0,0,0,3.0,0.0,0,2.0,0.0,0.0,0.0,0.375,0.375,0.375
deweyma01,205,11,1,1,0,0,0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.09090909090909091,0.2857142857142857,0.09090909090909091
dewilje01,13,25,2,3,1,0,1,2.0,0.0,2,12.0,0.0,1.0,0.0,0.12,0.18518518518518517,0.28
dewitbl01,426,1119,118,288,53,11,21,135.0,7.0,107,194.0,8.0,3.0,10.0,0.257372654155496,0.32395498392282956,0.3806970509383378
dewitma01,29,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dextech01,774,2876,430,751,95,24,16,347.0,183.0,198,226.0,42.0,81.0,0.0,0.26112656467315715,0.3180359435173299,0.327538247566064
diamosc01,59,14,1,2,0,0,0,0.0,0.0,0,7.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
diamoth01,16,7,1,0,0,0,0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.125,0.0
diazal01,366,816,102,195,31,7,8,75.0,41.0,33,107.0,5.0,11.0,7.0,0.23897058823529413,0.2706155632984901,0.3235294117647059
diazal02,406,1380,201,377,88,4,54,186.0,13.0,104,204.0,15.0,3.0,17.0,0.27318840579710146,0.32717678100263853,0.4601449275362319
