playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
gerkist01,21.0,34.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,N
gerlajo01,12.0,27.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.3333333333333333,0.41935483870967744,0.3333333333333333,N
germado01,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.1,0.0,N
germaes01,409.0,1016.0,159.0,284.0,54.0,15.0,8.0,111.0,34.0,117.0,187.0,13.0,17.0,7.0,0.2795275590551181,0.3590633130962706,0.3858267716535433,N
germafr01,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
germaju01,96.0,67.0,4.0,10.0,2.0,0.0,0.0,3.0,0.0,4.0,31.0,0.0,17.0,0.0,0.14925373134328357,0.19718309859154928,0.1791044776119403,N
germale01,148.0,411.0,60.0,107.0,8.0,3.0,3.0,51.0,11.0,33.0,20.0,5.0,4.0,0.0,0.26034063260340634,0.32293986636971045,0.31630170316301703,N
germego01,129.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N
gernedi01,835.0,2493.0,357.0,632.0,104.0,8.0,103.0,402.0,10.0,363.0,462.0,17.0,10.0,13.0,0.25350982751704776,0.35065835065835066,0.42559165663858806,N
gerneed01,6.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,N
geronce01,1522.0,3780.0,460.0,977.0,161.0,50.0,51.0,392.0,82.0,354.0,746.0,31.0,39.0,25.0,0.25846560846560845,0.32505966587112173,0.367989417989418,N
gertelo01,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,N
gerutjo01,574.0,1804.0,246.0,472.0,107.0,13.0,59.0,226.0,30.0,159.0,261.0,15.0,4.0,10.0,0.2616407982261641,0.32494969818913483,0.4334811529933481,N
gervale01,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,N
gessldo01,880.0,2969.0,370.0,831.0,127.0,50.0,14.0,363.0,142.0,333.0,327.0,92.0,62.0,0.0,0.2798922196025598,0.3700648202710666,0.370495116200741,N
gessnch01,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,N
getteal01,189.0,241.0,23.0,55.0,7.0,1.0,0.0,14.0,0.0,4.0,25.0,1.0,10.0,0.0,0.22821576763485477,0.24390243902439024,0.26556016597510373,N
gettiby01,21.0,39.0,7.0,7.0,1.0,1.0,0.0,1.0,0.0,8.0,14.0,1.0,0.0,1.0,0.1794871794871795,0.32653061224489793,0.2564102564102564,N
gettich01,126.0,377.0,48.0,91.0,16.0,2.0,0.0,47.0,12.0,28.0,35.0,5.0,4.0,0.0,0.2413793103448276,0.3024390243902439,0.29442970822281167,N
gettito01,125.0,503.0,61.0,131.0,18.0,10.0,6.0,64.0,14.0,30.0,16.0,3.0,5.0,0.0,0.26043737574552683,0.30597014925373134,0.3717693836978131,N
gettmja01,197.0,772.0,108.0,215.0,24.0,8.0,8.0,78.0,44.0,40.0,83.0,9.0,12.0,0.0,0.27849740932642486,0.3215590742996346,0.36139896373056996,N
getzch01,459.0,1409.0,176.0,352.0,50.0,11.0,3.0,111.0,89.0,111.0,173.0,12.0,35.0,7.0,0.24982256919801277,0.30864197530864196,0.30731014904187365,N
getzgu01,339.0,1114.0,85.0,265.0,22.0,9.0,2.0,93.0,41.0,24.0,56.0,5.0,29.0,0.0,0.2378815080789946,0.2572178477690289,0.2791741472172352,N
getzich01,303.0,1056.0,114.0,209.0,27.0,15.0,8.0,109.0,17.0,78.0,247.0,6.0,0.0,0.0,0.19791666666666666,0.25701754385964914,0.2746212121212121,N
